programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2
unknown,yes,no,mu,nee,female,yes,09/12/1990,0,no,99.0,3,6990.0,02:00,Kindness,Weather
bioinformatics and systems biology,yes,no,mu,ja,female,yes,13-02-1999,260,no,0.0,7,13.0,03:07,When I am able to sport,When the sun shines 
computational science,yes,no,mu,nee,male,yes,22-04,240,no,0.0,4,6.0,23:30,No stress,Being happy
computer science,no,no,mu,ja,female,yes,21-07-2000,160,no,75.0,2,831.0,01:00,love,game
bioinformatics and systems biology,yes,no,mu,nee,male,not willing to say,29/05/2002,160,no,0.0,6,42.0,02:00,achievements,easy cycling
business analytics,yes,yes,mu,ja,female,yes,26-01-2003,240,no,20.0,1,9.0,23:00,Sunshine,Having good food
quantitative risk management,no,unknown,unknown,nee,male,yes,13/03/1999,120,no,80.0,4,72.0,03:00,Good weather (Sunny) ,Achieve my personal goals
bioinformatics and systems biology,yes,no,mu,nee,male,yes,06.09.1999,280,no,31.0,7,31.0,24:00,"Food, gym, friends",-
computer science,yes,no,mu,nee,male,no,26/12/1997,180,yes,99.0,0,1012708299.0,02:00,coffee,sleep
econometrics and data science,no,no,mu,nee,female,yes,06/06/2001,280,no,0.0,4,11.0,23:33,Sun,Good food
software engineering,no,yes,unknown,ja,female,not willing to say,26 November 1998,200,no,90.0,1,7.0,23:36,A day that I feel useful and happiness ,A day that I feel useful and happiness 
artificial intelligence,yes,yes,sigma,ja,male,yes,29/8/1998,240,no,10.0,12,34.0,23:15,A good coffee after a good gym session,Time free to be productive at home 
software engineering,yes,yes,mu,ja,female,yes,31-Jan-1982,400,no,10.0,4,45.0,00:00,Accomplishment,Meeting objectives 
computer science,yes,no,sigma,ja,not willing to answer,yes,6-22,400,unknown,80.0,0,114514.0,01:05,sleep well,holidays
unknown,no,no,unknown,ja,female,yes,27-03-2001,120,no,0.5,0,4.5806252078414897e+21,02:00,If my chrush likes me back,Sunny day
econometrics and data science,yes,no,sigma,ja,male,yes,27/02/1998,260,no,63.0,11,0.0,22:45,When I have done some exercise along with a successful day of studying,When I get to meet up with some friends
bioinformatics and systems biology,yes,no,mu,nee,gender fluid,not willing to say,04,220,no,1.0,2,1001010.0,01:00,Looking at a mirror,Looking at a selfie
econometrics and data science,unknown,yes,sigma,ja,male,yes,14 may 2001,180,no,56.0,5,2.78,23:30,If i have a relatively relaxing but productive day,If the stockmarket goes up
unknown,yes,no,sigma,nee,female,yes,27.06.1998,360,no,34.0,1,36952.0,23:00,"Staying home, with food","Staying home, with food, playing games"
unknown,yes,unknown,unknown,ja,male,yes,17-05-2000,200,unknown,60.0,6,6.0,23:30,Sucess,Food
computer science,no,no,sigma,ja,female,yes,26-08-1999,160,no,60.0,3,7.0,02:15,Nice food,Good sleep
